reviewerName,expertiseAreas
Suphakant Phimoltares,"identification, salmonella enterica"
F. Takada,"identification, disease, salmonella enterica, spike protein"
Mohsen Ali,"identification, big data, cyber-physical system, differential privacy"
Saeed Ali Omer Bahaj,"identification, differential privacy"
Aman Chadha,"identification, big data, encryption, homomorphic encryption, data breach"
Junye Wang,"identification, popularity, schema (genetic algorithms), elasticity"
A. Detweiler,"identification, disease, personalized medicine, health, biomarker discovery, proteome"
E. Francini,"identification, disease, hydroxymethyl, personalized medicine, health, biomarker discovery, dispersity, proteome, cationic polymerization"
Xi Xie,"identification, glycomics, genomic, disease, human genetics, medical genetics, cancer genetics, statement (logic)"
Y. Zhang,"identification, genomic, unstructured data, human genetics, medical genetics, data extraction, cancer genetics, named entity recognition, statement (logic)"
A. Ahuja,"identification, genomic, human genetics, medical genetics, cancer genetics, statement (logic)"
E. Gillies,"identification, genotype-phenotype distinction, disease, model organism"
S. Gill,"identification, disease"
Rong-shan Li,"identification, disease"
Tariq Ali,"identification, data extraction, cheminformatics, bridge (graph theory), response time"
Yinda Zhang,"identification, fine-tuning"
Ó. Teijido,"identification, disease, human genetics, genome-wide association study, transferability, genetic architecture"
C. Ebenbichler,"identification, representation, disease, benchmark (surveying)"
A. Lützen,"identification, representation, disease, benchmark (surveying)"
Jin-Lian Ma,"identification, genomic, pandemic, genomic sequencing"
J. Grzybowski,"identification, genomic, pandemic, genomic sequencing"
James L. Chen,"identification, coronavirus, subfamily, angiotensin-converting enzyme 2"
A. Ogilvy-Stuart,"identification, sexual differentiation"
C. Steer,identification
Antonio Corradi,"identification, hyperparameter, health"
Ahmad S. Almadhor,"identification, hyperparameter, health"
Alia Asheralieva,"identification, foundation (evidence), security analysis"
Jiangzhou Wang,identification
Zipeng Duan,identification
P. Kebria,identification
S. Cotterill,identification
A. Huber,"identification, malus, disease, viewpoints, myb"
Tina Vilsbøll,"identification, disease, viewpoints"
Emmanuel S. PIlli,"identification, information sensitivity, big data, mining, differential privacy, publication"
H. Motameni,"identification, information sensitivity, big data, mining, differential privacy, publication"
F. Aleanizy,"identification, genomic, python"
Zhixun Su,"identification, genomic, python"
Kemal Mese,"identification, genomic, python"
Claudio de Souza Rocha Junior,"identification, disease, iris recognition"
E. Quinlan-Jones,"identification, tree (set theory), viral evolution, trait"
Lin Xiong,"identification, genomic, tree (set theory), human genetics, exome, genomic information, genomic sequencing, trait"
J. Pitcock,"identification, tree (set theory), trait"
G. Wallau,"identification, mining, component (thermodynamics), dependency graph, argument (complex analysis), argumentative"
G. Wojcik,"identification, mining, component (thermodynamics), dependency graph, argument (complex analysis), argumentative"
A. Deshmukh,"identification, mining, component (thermodynamics), dependency graph, argument (complex analysis), argumentative"
Andreas Züfle,"identification, emerging technologies, safer, geospatial pdf"
Manal A. Alossaimi,"identification, emerging technologies, realm, safer"
Uri Shalit,"identification, genomic"
P. Brlek,"identification, genomic"
Emanuele Storti,"identification, storage management, cuckoo search, instruction prefetch, memory bandwidth, cas latency"
Ye Yuan,"identification, spark (programming language), extensibility"
Yuming Lin,"identification, spark (programming language), big data, extensibility, benchmarking"
N. D. Tran,"identification, extensibility"
Jiayi Wang,"identification, spark (programming language), data classification, big data, benchmark (surveying), word2vec, bounding overwatch, relationship extraction, minimum bounding box"
R. Fouchier,"identification, ralstonia solanacearum"
Chris Bailey,identification
J. Gazda,"identification, backhaul (telecommunications), dimensioning, electronic voting"
Yan Ding,"identification, big data, electronic voting, data management"
Bin Yao,"identification, information sensitivity, data set, data anonymization, blood smear, diagnosis of malaria, viewpoints"
T. Freiberger,"identification, blood smear, diagnosis of malaria"
Jean-Philippe Lambert,"identification, volvariella volvacea, genome, sequence (biology)"
Kei Sato,"identification, genome, sequence (biology)"
H. Field,identification
C. Betsholtz,"identification, structural isomer"
Jing Liu,"identification, e-science, robustness"
T. Ballı,"identification, genome, receptor"
E. Ghedin,"identification, genome, receptor"
H. Morris,"identification, genome, receptor"
Bruno Silva Andrade,"identification, chemical space"
S. Sutton,"identification, chemical space"
A. Bassuk,"identification, fetch, chemical space, fragmentation, granularity, code (set theory)"
Y. Bano,"identification, scope (computer science), genomic, vulnerability, sql injection, health"
A. Bosio,"identification, vulnerability"
R. Gioiosa,"identification, transfer of learning"
Weichao Li,"identification, transfer of learning, mining"
Soumyabrata Dev,"identification, iris recognition"
A. Alshawabkeh,"identification, disease"
M. Hay,"identification, disease"
Jin Sun,"identification, mode (computer interface), theme (computing), mining"
D. Nokes,identification
Jianguo Wang,"identification, benchmark (surveying), template, bloom filter, sequence (biology), retrosynthetic analysis"
Janmenjoy Nayak,"identification, bloom filter, sequence (biology)"
Xionglin Fan,"identification, disease, similarity (geometry), association (psychology)"
S. Feng,"identification, disease, similarity (geometry), association (psychology)"
Yuan-yuan Li,"identification, genomic, disease, genome-wide association study, encode, functional genomics, transcription, intergenic region"
Q. Feng,"identification, disease, genome-wide association study"
Balaji Chandrasekaran,"identification, disease, f1 score, binary classification, genome-wide association study"
Y. Lee,"identification, demethylating agent, epigenomics, disease, human genetics, medical genetics, exome, triple-negative breast cancer"
X. Fang,"identification, disease, human genetics, medical genetics, exome"
Yueqi Xie,identification
R.O. Littlejohn,identification
Wei Chen,"identification, scope (computer science), big data, sql injection, independence"
Eran Halperin,"identification, independence"
Shidrokh Goudarzi,"identification, independence"
A. Kalinovskii,"identification, adapter molecule crk, cucumis, intergenic region, angiology"
Patricia Martínez-Botía,"identification, adapter molecule crk, cucumis, endorphins, molecular mass, intergenic region"
Hui Su,"identification, pandemic, 2019-20 coronavirus outbreak, drought stress"
J. Carel,"identification, genomic, health benefits, mediterranean diet, molecular epidemiology, drought stress"
Beate St Pourcain,"identification, drought stress"
Michael Hsing,"identification, genomic, health records, personalized medicine, health, gossypium"
K. Ku,"identification, genomic, gossypium"
Sujeong Mun,"identification, genomic, minimal residual disease, risk stratification, liquid biopsy, circulating tumor dna, gossypium"
I. Wonni,"identification, drought stress"
E. Haacke,"identification, drought stress"
A. Ponti,"identification, diagnosis"
L. Zou,"identification, diagnosis"
Xiuliang Zhu,"identification, diagnosis, personalized medicine"
S. Reidt,"identification, named entity recognition, relationship extraction"
J. Misdraji,"identification, coronavirus, named entity recognition, relationship extraction"
Mahmoud F. Abo-Ashour,"identification, genomic, globe, translational research"
A. Arribas,"identification, genomic, globe, translational research"
H. Yin,"identification, sequence (biology)"
P. Uchil,identification
S. Pyysalo,"identification, hybrid genome assembly, k-mer, omics, robustness, multifractal system, exponent, sequence assembly"
